model,task,index,truth,neutral_prompt,yesno_prompt,agree_prompt,negated_agree_prompt,disagree_prompt
gpt-4o-2024-08-06,hearsay,50,1,0,0,1,0,0
gpt-4o-2024-08-06,hearsay,51,1,1,1,1,1,1
gpt-4o-2024-08-06,hearsay,52,1,0,1,0,0,1
gpt-4o-2024-08-06,hearsay,53,0,0,0,0,0,0
gpt-4o-2024-08-06,hearsay,54,1,1,1,1,1,1
gpt-4o-2024-08-06,hearsay,55,1,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,56,1,1,1,1,1,1
gpt-4o-2024-08-06,hearsay,57,1,1,1,1,1,1
gpt-4o-2024-08-06,hearsay,58,1,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,59,1,1,0,1,1,1
gpt-4o-2024-08-06,hearsay,60,1,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,61,1,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,62,1,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,63,1,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,64,1,0,1,0,1,1
gpt-4o-2024-08-06,hearsay,65,1,0,0,0,0,0
gpt-4o-2024-08-06,hearsay,66,1,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,67,1,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,68,1,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,69,1,0,1,0,1,1
gpt-4o-2024-08-06,hearsay,70,1,0,0,0,0,0
gpt-4o-2024-08-06,hearsay,71,1,0,1,1,0,1
gpt-4o-2024-08-06,hearsay,72,0,0,0,0,0,0
gpt-4o-2024-08-06,hearsay,73,1,1,1,1,1,1
gpt-4o-2024-08-06,hearsay,74,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,75,1,0,0,0,1,0
gpt-4o-2024-08-06,hearsay,76,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,77,0,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,78,0,0,1,1,1,1
gpt-4o-2024-08-06,hearsay,79,0,0,1,1,1,0
gpt-4o-2024-08-06,hearsay,80,0,0,1,0,0,0
gpt-4o-2024-08-06,hearsay,81,0,0,0,0,0,0
gpt-4o-2024-08-06,hearsay,82,0,0,0,1,0,0
gpt-4o-2024-08-06,hearsay,83,0,0,0,0,0,0
gpt-4o-2024-08-06,hearsay,84,1,0,0,1,0,1
gpt-4o-2024-08-06,hearsay,85,0,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,86,0,1,1,1,1,0
gpt-4o-2024-08-06,hearsay,87,0,0,0,0,0,0
gpt-4o-2024-08-06,hearsay,88,0,0,0,0,0,0
gpt-4o-2024-08-06,hearsay,89,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,90,0,0,0,0,1,0
gpt-4o-2024-08-06,hearsay,91,0,0,0,0,0,1
gpt-4o-2024-08-06,hearsay,92,0,0,0,0,1,0
gpt-4o-2024-08-06,hearsay,94,1,0,1,0,1,1
